ethn.wife,ethn.husband,age.wife,Freq,city
Avar,Avar,>50,10168,Makhachkala
Avar,Avar,36-50,32261,Makhachkala
Avar,Avar,16-35,31112,Makhachkala
Avar,Kumyk,>50,188,Makhachkala
Avar,Kumyk,36-50,596,Makhachkala
Avar,Kumyk,16-35,766,Makhachkala
Avar,Dargin,>50,161,Makhachkala
Avar,Dargin,36-50,696,Makhachkala
Avar,Dargin,16-35,997,Makhachkala
Avar,Lezgian,>50,54,Makhachkala
Avar,Lezgian,36-50,263,Makhachkala
Avar,Lezgian,16-35,462,Makhachkala
Avar,Laki,>50,85,Makhachkala
Avar,Laki,36-50,461,Makhachkala
Avar,Laki,16-35,563,Makhachkala
Avar,Russian,>50,31,Makhachkala
Avar,Russian,36-50,64,Makhachkala
Avar,Russian,16-35,101,Makhachkala
Avar,Tabasaran,>50,10,Makhachkala
Avar,Tabasaran,36-50,33,Makhachkala
Avar,Tabasaran,16-35,61,Makhachkala
Avar,Nogai,>50,14,Makhachkala
Avar,Nogai,36-50,5,Makhachkala
Avar,Nogai,16-35,9,Makhachkala
Avar,Rutulian,>50,4,Makhachkala
Avar,Rutulian,36-50,23,Makhachkala
Avar,Rutulian,16-35,67,Makhachkala
Avar,Aghul,>50,7,Makhachkala
Avar,Aghul,36-50,9,Makhachkala
Avar,Aghul,16-35,35,Makhachkala
Avar,Azerbaijani,>50,7,Makhachkala
Avar,Azerbaijani,36-50,33,Makhachkala
Avar,Azerbaijani,16-35,26,Makhachkala
Avar,Tsakhur,>50,0,Makhachkala
Avar,Tsakhur,36-50,11,Makhachkala
Avar,Tsakhur,16-35,7,Makhachkala
Avar,other,>50,27,Makhachkala
Avar,other,36-50,64,Makhachkala
Avar,other,16-35,122,Makhachkala
Kumyk,Avar,>50,306,Makhachkala
Kumyk,Avar,36-50,912,Makhachkala
Kumyk,Avar,16-35,1063,Makhachkala
Kumyk,Kumyk,>50,9997,Makhachkala
Kumyk,Kumyk,36-50,30723,Makhachkala
Kumyk,Kumyk,16-35,26951,Makhachkala
Kumyk,Dargin,>50,186,Makhachkala
Kumyk,Dargin,36-50,452,Makhachkala
Kumyk,Dargin,16-35,653,Makhachkala
Kumyk,Lezgian,>50,41,Makhachkala
Kumyk,Lezgian,36-50,295,Makhachkala
Kumyk,Lezgian,16-35,372,Makhachkala
Kumyk,Laki,>50,98,Makhachkala
Kumyk,Laki,36-50,355,Makhachkala
Kumyk,Laki,16-35,398,Makhachkala
Kumyk,Russian,>50,38,Makhachkala
Kumyk,Russian,36-50,82,Makhachkala
Kumyk,Russian,16-35,92,Makhachkala
Kumyk,Tabasaran,>50,15,Makhachkala
