ethn.wife,ethn.husband,age.wife,Freq,city
Russian,Russian,>50,775601,Moscow
Russian,Russian,36-50,933160,Moscow
Russian,Russian,16-35,805231,Moscow
Russian,Tatar,>50,3688,Moscow
Russian,Tatar,36-50,5583,Moscow
Russian,Tatar,16-35,4902,Moscow
Russian,Jewish,>50,6773,Moscow
Russian,Jewish,36-50,3123,Moscow
Russian,Jewish,16-35,1606,Moscow
Russian,Ukrainian,>50,12714,Moscow
Russian,Ukrainian,36-50,13655,Moscow
Russian,Ukrainian,16-35,8627,Moscow
Russian,Armenian,>50,3337,Moscow
Russian,Armenian,36-50,4735,Moscow
Russian,Armenian,16-35,3765,Moscow
Russian,other,>50,22523,Moscow
Russian,other,36-50,33976,Moscow
Russian,other,16-35,30122,Moscow
Tatar,Russian,>50,2985,Moscow
Tatar,Russian,36-50,3099,Moscow
Tatar,Russian,16-35,3027,Moscow
Tatar,Tatar,>50,5253,Moscow
Tatar,Tatar,36-50,4882,Moscow
Tatar,Tatar,16-35,4898,Moscow
Tatar,Jewish,>50,78,Moscow
Tatar,Jewish,36-50,28,Moscow
Tatar,Jewish,16-35,5,Moscow
Tatar,Ukrainian,>50,76,Moscow
Tatar,Ukrainian,36-50,92,Moscow
Tatar,Ukrainian,16-35,73,Moscow
Tatar,Armenian,>50,24,Moscow
Tatar,Armenian,36-50,37,Moscow
Tatar,Armenian,16-35,28,Moscow
Tatar,other,>50,302,Moscow
Tatar,other,36-50,442,Moscow
Tatar,other,16-35,409,Moscow
Jewish,Russian,>50,2448,Moscow
Jewish,Russian,36-50,1453,Moscow
Jewish,Russian,16-35,991,Moscow
Jewish,Tatar,>50,11,Moscow
Jewish,Tatar,36-50,33,Moscow
Jewish,Tatar,16-35,5,Moscow
Jewish,Jewish,>50,4310,Moscow
Jewish,Jewish,36-50,1651,Moscow
Jewish,Jewish,16-35,997,Moscow
Jewish,Ukrainian,>50,104,Moscow
Jewish,Ukrainian,36-50,51,Moscow
Jewish,Ukrainian,16-35,12,Moscow
Jewish,Armenian,>50,67,Moscow
Jewish,Armenian,36-50,24,Moscow
Jewish,Armenian,16-35,29,Moscow
Jewish,other,>50,181,Moscow
Jewish,other,36-50,156,Moscow
Jewish,other,16-35,133,Moscow
Ukrainian,Russian,>50,1221,Moscow
Ukrainian,Russian,36-50,1087,Moscow
Ukrainian,Russian,16-35,837,Moscow
Ukrainian,Tatar,>50,16,Moscow
Ukrainian,Tatar,36-50,36,Moscow
Ukrainian,Tatar,16-35,24,Moscow
Ukrainian,Jewish,>50,56,Moscow
Ukrainian,Jewish,36-50,25,Moscow
Ukrainian,Jewish,16-35,15,Moscow
Ukrainian,Ukrainian,>50,272,Moscow
Ukrainian,Ukrainian,36-50,281,Moscow
Ukrainian,Ukrainian,16-35,187,Moscow
Ukrainian,Armenian,>50,21,Moscow
Ukrainian,Armenian,36-50,41,Moscow
Ukrainian,Armenian,16-35,12,Moscow
Ukrainian,other,>50,57,Moscow
Ukrainian,other,36-50,108,Moscow
Ukrainian,other,16-35,54,Moscow
Armenian,Russian,>50,437,Moscow
Armenian,Russian,36-50,452,Moscow
Armenian,Russian,16-35,456,Moscow
Armenian,Tatar,>50,5,Moscow
Armenian,Tatar,36-50,18,Moscow
Armenian,Tatar,16-35,3,Moscow
Armenian,Jewish,>50,46,Moscow
Armenian,Jewish,36-50,27,Moscow
Armenian,Jewish,16-35,19,Moscow
Armenian,Ukrainian,>50,6,Moscow
Armenian,Ukrainian,36-50,20,Moscow
Armenian,Ukrainian,16-35,3,Moscow
Armenian,Armenian,>50,391,Moscow
Armenian,Armenian,36-50,849,Moscow
Armenian,Armenian,16-35,1014,Moscow
Armenian,other,>50,55,Moscow
Armenian,other,36-50,49,Moscow
Armenian,other,16-35,80,Moscow
other,Russian,>50,8064,Moscow
other,Russian,36-50,10334,Moscow
other,Russian,16-35,8670,Moscow
other,Tatar,>50,109,Moscow
other,Tatar,36-50,109,Moscow
other,Tatar,16-35,133,Moscow
other,Jewish,>50,171,Moscow
other,Jewish,36-50,112,Moscow
other,Jewish,16-35,101,Moscow
other,Ukrainian,>50,169,Moscow
other,Ukrainian,36-50,218,Moscow
other,Ukrainian,16-35,140,Moscow
other,Armenian,>50,105,Moscow
other,Armenian,36-50,143,Moscow
other,Armenian,16-35,87,Moscow
other,other,>50,15008,Moscow
other,other,36-50,19162,Moscow
other,other,16-35,16811,Moscow
