ethn.wife,ethn.husband,age.wife,Freq,city
Russian,Russian,>50,66209,Rostov
Russian,Russian,36-50,93393,Rostov
Russian,Russian,16-35,100667,Rostov
Russian,Armenian,>50,1310,Rostov
Russian,Armenian,36-50,2209,Rostov
Russian,Armenian,16-35,2164,Rostov
Russian,Tatar,>50,201,Rostov
Russian,Tatar,36-50,305,Rostov
Russian,Tatar,16-35,338,Rostov
Russian,other,>50,3324,Rostov
Russian,other,36-50,4636,Rostov
Russian,other,16-35,3829,Rostov
Armenian,Russian,>50,728,Rostov
Armenian,Russian,36-50,759,Rostov
Armenian,Russian,16-35,550,Rostov
Armenian,Armenian,>50,1688,Rostov
Armenian,Armenian,36-50,1686,Rostov
Armenian,Armenian,16-35,1357,Rostov
Armenian,Tatar,>50,4,Rostov
Armenian,Tatar,36-50,7,Rostov
Armenian,Tatar,16-35,15,Rostov
Armenian,other,>50,118,Rostov
Armenian,other,36-50,134,Rostov
Armenian,other,16-35,110,Rostov
Tatar,Russian,>50,160,Rostov
Tatar,Russian,36-50,186,Rostov
Tatar,Russian,16-35,233,Rostov
Tatar,Armenian,>50,10,Rostov
Tatar,Armenian,36-50,9,Rostov
Tatar,Armenian,16-35,16,Rostov
Tatar,Tatar,>50,231,Rostov
Tatar,Tatar,36-50,230,Rostov
Tatar,Tatar,16-35,133,Rostov
Tatar,other,>50,24,Rostov
Tatar,other,36-50,10,Rostov
Tatar,other,16-35,40,Rostov
other,Russian,>50,795,Rostov
other,Russian,36-50,1155,Rostov
other,Russian,16-35,1152,Rostov
other,Armenian,>50,46,Rostov
other,Armenian,36-50,47,Rostov
other,Armenian,16-35,84,Rostov
other,Tatar,>50,8,Rostov
other,Tatar,36-50,11,Rostov
other,Tatar,16-35,3,Rostov
other,other,>50,715,Rostov
other,other,36-50,1048,Rostov
other,other,16-35,1325,Rostov
