ethn.wife,ethn.husband,age.wife,Freq,city
Russian,Russian,>50,37516,Ufa
Russian,Russian,36-50,47605,Ufa
Russian,Russian,16-35,45797,Ufa
Russian,Tatar,>50,2870,Ufa
Russian,Tatar,36-50,7242,Ufa
Russian,Tatar,16-35,10157,Ufa
Russian,Bashkir,>50,1114,Ufa
Russian,Bashkir,36-50,2710,Ufa
Russian,Bashkir,16-35,3779,Ufa
Russian,Ukrainian,>50,1367,Ufa
Russian,Ukrainian,36-50,1185,Ufa
Russian,Ukrainian,16-35,769,Ufa
Russian,Mari,>50,134,Ufa
Russian,Mari,36-50,356,Ufa
Russian,Mari,16-35,439,Ufa
Russian,Chuvash,>50,350,Ufa
Russian,Chuvash,36-50,589,Ufa
Russian,Chuvash,16-35,473,Ufa
Russian,other,>50,1675,Ufa
Russian,other,36-50,2260,Ufa
Russian,other,16-35,2135,Ufa
Tatar,Russian,>50,3215,Ufa
Tatar,Russian,36-50,7188,Ufa
Tatar,Russian,16-35,9565,Ufa
Tatar,Tatar,>50,11056,Ufa
Tatar,Tatar,36-50,16801,Ufa
Tatar,Tatar,16-35,15256,Ufa
Tatar,Bashkir,>50,2628,Ufa
Tatar,Bashkir,36-50,4004,Ufa
Tatar,Bashkir,16-35,3868,Ufa
Tatar,Ukrainian,>50,131,Ufa
Tatar,Ukrainian,36-50,247,Ufa
Tatar,Ukrainian,16-35,239,Ufa
Tatar,Mari,>50,60,Ufa
Tatar,Mari,36-50,153,Ufa
Tatar,Mari,16-35,212,Ufa
Tatar,Chuvash,>50,75,Ufa
Tatar,Chuvash,36-50,148,Ufa
Tatar,Chuvash,16-35,154,Ufa
Tatar,other,>50,333,Ufa
Tatar,other,36-50,835,Ufa
Tatar,other,16-35,992,Ufa
Bashkir,Russian,>50,878,Ufa
Bashkir,Russian,36-50,2547,Ufa
Bashkir,Russian,16-35,3314,Ufa
Bashkir,Tatar,>50,2454,Ufa
Bashkir,Tatar,36-50,4166,Ufa
Bashkir,Tatar,16-35,3845,Ufa
Bashkir,Bashkir,>50,4750,Ufa
Bashkir,Bashkir,36-50,8029,Ufa
Bashkir,Bashkir,16-35,7856,Ufa
Bashkir,Ukrainian,>50,57,Ufa
Bashkir,Ukrainian,36-50,101,Ufa
Bashkir,Ukrainian,16-35,65,Ufa
Bashkir,Mari,>50,25,Ufa
Bashkir,Mari,36-50,62,Ufa
Bashkir,Mari,16-35,86,Ufa
Bashkir,Chuvash,>50,26,Ufa
Bashkir,Chuvash,36-50,86,Ufa
Bashkir,Chuvash,16-35,98,Ufa
Bashkir,other,>50,147,Ufa
Bashkir,other,36-50,340,Ufa
Bashkir,other,16-35,410,Ufa
Ukrainian,Russian,>50,647,Ufa
Ukrainian,Russian,36-50,834,Ufa
Ukrainian,Russian,16-35,425,Ufa
Ukrainian,Tatar,>50,60,Ufa
Ukrainian,Tatar,36-50,174,Ufa
Ukrainian,Tatar,16-35,100,Ufa
Ukrainian,Bashkir,>50,24,Ufa
Ukrainian,Bashkir,36-50,57,Ufa
Ukrainian,Bashkir,16-35,52,Ufa
Ukrainian,Ukrainian,>50,86,Ufa
Ukrainian,Ukrainian,36-50,101,Ufa
Ukrainian,Ukrainian,16-35,68,Ufa
Ukrainian,Mari,>50,9,Ufa
Ukrainian,Mari,36-50,9,Ufa
Ukrainian,Mari,16-35,6,Ufa
Ukrainian,Chuvash,>50,8,Ufa
Ukrainian,Chuvash,36-50,13,Ufa
Ukrainian,Chuvash,16-35,6,Ufa
Ukrainian,other,>50,63,Ufa
Ukrainian,other,36-50,88,Ufa
Ukrainian,other,16-35,32,Ufa
Mari,Russian,>50,104,Ufa
Mari,Russian,36-50,371,Ufa
Mari,Russian,16-35,260,Ufa
Mari,Tatar,>50,59,Ufa
Mari,Tatar,36-50,125,Ufa
Mari,Tatar,16-35,167,Ufa
Mari,Bashkir,>50,26,Ufa
Mari,Bashkir,36-50,55,Ufa
Mari,Bashkir,16-35,73,Ufa
Mari,Ukrainian,>50,10,Ufa
Mari,Ukrainian,36-50,18,Ufa
Mari,Ukrainian,16-35,14,Ufa
Mari,Mari,>50,257,Ufa
Mari,Mari,36-50,356,Ufa
Mari,Mari,16-35,297,Ufa
Mari,Chuvash,>50,0,Ufa
Mari,Chuvash,36-50,27,Ufa
Mari,Chuvash,16-35,11,Ufa
Mari,other,>50,9,Ufa
Mari,other,36-50,18,Ufa
Mari,other,16-35,30,Ufa
Chuvash,Russian,>50,213,Ufa
Chuvash,Russian,36-50,388,Ufa
Chuvash,Russian,16-35,370,Ufa
Chuvash,Tatar,>50,47,Ufa
Chuvash,Tatar,36-50,178,Ufa
Chuvash,Tatar,16-35,146,Ufa
Chuvash,Bashkir,>50,18,Ufa
Chuvash,Bashkir,36-50,41,Ufa
Chuvash,Bashkir,16-35,74,Ufa
Chuvash,Ukrainian,>50,5,Ufa
Chuvash,Ukrainian,36-50,25,Ufa
Chuvash,Ukrainian,16-35,28,Ufa
Chuvash,Mari,>50,3,Ufa
Chuvash,Mari,36-50,0,Ufa
Chuvash,Mari,16-35,11,Ufa
Chuvash,Chuvash,>50,171,Ufa
Chuvash,Chuvash,36-50,220,Ufa
Chuvash,Chuvash,16-35,127,Ufa
Chuvash,other,>50,11,Ufa
Chuvash,other,36-50,6,Ufa
Chuvash,other,16-35,40,Ufa
other,Russian,>50,746,Ufa
other,Russian,36-50,1019,Ufa
other,Russian,16-35,824,Ufa
other,Tatar,>50,163,Ufa
other,Tatar,36-50,255,Ufa
other,Tatar,16-35,333,Ufa
other,Bashkir,>50,58,Ufa
other,Bashkir,36-50,166,Ufa
other,Bashkir,16-35,122,Ufa
other,Ukrainian,>50,36,Ufa
other,Ukrainian,36-50,35,Ufa
other,Ukrainian,16-35,23,Ufa
other,Mari,>50,5,Ufa
other,Mari,36-50,17,Ufa
other,Mari,16-35,15,Ufa
other,Chuvash,>50,11,Ufa
other,Chuvash,36-50,20,Ufa
other,Chuvash,16-35,17,Ufa
other,other,>50,440,Ufa
other,other,36-50,682,Ufa
other,other,16-35,680,Ufa
