ethn.wife,ethn.husband,age.wife,Freq,city
Ossetian,Ossetian,>50,16372,Vladikavkaz
Ossetian,Ossetian,36-50,25822,Vladikavkaz
Ossetian,Ossetian,16-35,19771,Vladikavkaz
Ossetian,Russian,>50,514,Vladikavkaz
Ossetian,Russian,36-50,883,Vladikavkaz
Ossetian,Russian,16-35,939,Vladikavkaz
Ossetian,Armenian,>50,66,Vladikavkaz
Ossetian,Armenian,36-50,259,Vladikavkaz
Ossetian,Armenian,16-35,296,Vladikavkaz
Ossetian,Georgian,>50,174,Vladikavkaz
Ossetian,Georgian,36-50,268,Vladikavkaz
Ossetian,Georgian,16-35,212,Vladikavkaz
Ossetian,other,>50,299,Vladikavkaz
Ossetian,other,36-50,403,Vladikavkaz
Ossetian,other,16-35,536,Vladikavkaz
Russian,Ossetian,>50,658,Vladikavkaz
Russian,Ossetian,36-50,1465,Vladikavkaz
Russian,Ossetian,16-35,2073,Vladikavkaz
Russian,Russian,>50,5515,Vladikavkaz
Russian,Russian,36-50,8088,Vladikavkaz
Russian,Russian,16-35,6055,Vladikavkaz
Russian,Armenian,>50,204,Vladikavkaz
Russian,Armenian,36-50,285,Vladikavkaz
Russian,Armenian,16-35,298,Vladikavkaz
Russian,Georgian,>50,111,Vladikavkaz
Russian,Georgian,36-50,168,Vladikavkaz
Russian,Georgian,16-35,109,Vladikavkaz
Russian,other,>50,337,Vladikavkaz
Russian,other,36-50,502,Vladikavkaz
Russian,other,16-35,376,Vladikavkaz
Armenian,Ossetian,>50,79,Vladikavkaz
Armenian,Ossetian,36-50,162,Vladikavkaz
Armenian,Ossetian,16-35,305,Vladikavkaz
Armenian,Russian,>50,89,Vladikavkaz
Armenian,Russian,36-50,121,Vladikavkaz
Armenian,Russian,16-35,144,Vladikavkaz
Armenian,Armenian,>50,551,Vladikavkaz
Armenian,Armenian,36-50,773,Vladikavkaz
Armenian,Armenian,16-35,428,Vladikavkaz
Armenian,Georgian,>50,20,Vladikavkaz
Armenian,Georgian,36-50,43,Vladikavkaz
Armenian,Georgian,16-35,14,Vladikavkaz
Armenian,other,>50,40,Vladikavkaz
Armenian,other,36-50,33,Vladikavkaz
Armenian,other,16-35,27,Vladikavkaz
Georgian,Ossetian,>50,92,Vladikavkaz
Georgian,Ossetian,36-50,273,Vladikavkaz
Georgian,Ossetian,16-35,178,Vladikavkaz
Georgian,Russian,>50,61,Vladikavkaz
Georgian,Russian,36-50,64,Vladikavkaz
Georgian,Russian,16-35,60,Vladikavkaz
Georgian,Armenian,>50,12,Vladikavkaz
Georgian,Armenian,36-50,35,Vladikavkaz
Georgian,Armenian,16-35,31,Vladikavkaz
Georgian,Georgian,>50,264,Vladikavkaz
Georgian,Georgian,36-50,501,Vladikavkaz
Georgian,Georgian,16-35,203,Vladikavkaz
Georgian,other,>50,9,Vladikavkaz
Georgian,other,36-50,38,Vladikavkaz
Georgian,other,16-35,20,Vladikavkaz
other,Ossetian,>50,132,Vladikavkaz
other,Ossetian,36-50,237,Vladikavkaz
other,Ossetian,16-35,326,Vladikavkaz
other,Russian,>50,139,Vladikavkaz
other,Russian,36-50,131,Vladikavkaz
other,Russian,16-35,193,Vladikavkaz
other,Armenian,>50,26,Vladikavkaz
other,Armenian,36-50,39,Vladikavkaz
other,Armenian,16-35,23,Vladikavkaz
other,Georgian,>50,14,Vladikavkaz
other,Georgian,36-50,27,Vladikavkaz
other,Georgian,16-35,4,Vladikavkaz
other,other,>50,469,Vladikavkaz
other,other,36-50,593,Vladikavkaz
other,other,16-35,363,Vladikavkaz
